length,present,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,txtList.started,txtList.stopped,txtProbe.started,txtProbe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,1,5,1,41,1,211.60770629998296,213.10890120011754,215.11053619999439,None,left,1,0.6858397000469267,215.11053619999439,None,215.8283622700721,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,5,2,42,3,216.41194010013714,217.91280209994875,219.91478920006193,None,right,0,0.6083112999331206,219.91478920006193,None,220.54837917005642,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,5,3,43,6,221.1322643000167,222.63334970013238,224.6350891001057,None,right,1,1.1043652999214828,224.6350891001057,None,225.7697208701167,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,5,4,44,4,226.3532573999837,227.85454319999553,229.85592660005204,None,right,1,0.3766896000597626,229.85592660005204,None,230.25650097015313,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,5,5,45,7,230.85700000007637,232.35813890001737,234.3597626001574,None,right,1,0.8056244000326842,234.3597626001574,None,235.19381677014752,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,5,6,46,0,235.77758560003713,237.27891540015116,239.28074560011737,None,left,1,0.64627750008367,239.28074560011737,None,239.9482567699626,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,5,7,47,2,240.5483649999369,242.04958710004576,244.05140180001035,None,left,1,0.7130301999859512,244.05140180001035,None,244.78487097010947,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,6,0,48,4,245.38544620014727,246.88674300001003,248.88851439999416,None,right,1,0.43075460009276867,248.88851439999416,None,249.339212470036,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,6,1,49,6,249.9394956000615,251.4402707000263,253.44217170006596,None,right,1,0.7475197999738157,253.44217170006596,None,254.20947327003813,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,6,2,50,5,254.7933776001446,256.29454350005835,258.2964000001084,None,right,1,0.6210543001070619,258.2964000001084,None,258.94674206995404,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,6,3,51,3,259.5474795999471,261.04868749994785,263.05041010002606,None,left,1,1.1489238999783993,263.05041010002606,None,264.2177981699817,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,6,4,52,2,264.80156089994125,266.3031220000703,268.30481600016356,None,left,1,0.6386236001271755,268.30481600016356,None,268.971615070058,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
